metric,paper_model,mean,std,n,aggregation_scope,run_ids
eval_drift_one_pass_candidate_pred_score,EOPKG-WI,7.261,0.136,5,last,090ed1f9329c470dacabe8e87cad00e7;431a79f4e8044d2987d5f97c90a221c6;52976b78cd13459d8aeef2428f0736f8;5f855ce1446645a4a4d52a5b3c12507f;edd97efded1f4ee08e676233e55461b9
eval_drift_one_pass_candidate_pred_score,EOPKG,4.727,0.595,5,last,210a1a668a5649d1b5ff4f4adc5fb93b;b03b8880277a467287a08bb2d2153b28;b739aca822a14a1cbd642cd4ac692d17;e53ccb9930de4f7bb9b8aac4b4105174;e61540633e6547ed8c59bb28154d4917
eval_drift_one_pass_candidate_prediction_entropy,GATv2,,,0,,
eval_drift_one_pass_candidate_prediction_entropy,LSTM,,,0,,
eval_drift_one_pass_candidate_prediction_entropy,EOPKG-WI,0.692,0.059,5,last,090ed1f9329c470dacabe8e87cad00e7;431a79f4e8044d2987d5f97c90a221c6;52976b78cd13459d8aeef2428f0736f8;5f855ce1446645a4a4d52a5b3c12507f;edd97efded1f4ee08e676233e55461b9
eval_drift_one_pass_candidate_prediction_entropy,EOPKG,0.543,0.078,5,last,210a1a668a5649d1b5ff4f4adc5fb93b;b03b8880277a467287a08bb2d2153b28;b739aca822a14a1cbd642cd4ac692d17;e53ccb9930de4f7bb9b8aac4b4105174;e61540633e6547ed8c59bb28154d4917
eval_drift_one_pass_candidate_score_gap,GATv2,,,0,,
eval_drift_one_pass_candidate_score_gap,LSTM,,,0,,
eval_drift_one_pass_candidate_score_gap,EOPKG-WI,136296.205,0.087,5,last,090ed1f9329c470dacabe8e87cad00e7;431a79f4e8044d2987d5f97c90a221c6;52976b78cd13459d8aeef2428f0736f8;5f855ce1446645a4a4d52a5b3c12507f;edd97efded1f4ee08e676233e55461b9
eval_drift_one_pass_candidate_score_gap,EOPKG,136294.663,0.238,5,last,210a1a668a5649d1b5ff4f4adc5fb93b;b03b8880277a467287a08bb2d2153b28;b739aca822a14a1cbd642cd4ac692d17;e53ccb9930de4f7bb9b8aac4b4105174;e61540633e6547ed8c59bb28154d4917
eval_drift_one_pass_candidate_seen_score_mean,GATv2,,,0,,
eval_drift_one_pass_candidate_seen_score_mean,LSTM,,,0,,
eval_drift_one_pass_candidate_seen_score_mean,EOPKG-WI,-0.433,0.073,5,last,090ed1f9329c470dacabe8e87cad00e7;431a79f4e8044d2987d5f97c90a221c6;52976b78cd13459d8aeef2428f0736f8;5f855ce1446645a4a4d52a5b3c12507f;edd97efded1f4ee08e676233e55461b9
eval_drift_one_pass_candidate_seen_score_mean,EOPKG,-7.083,0.517,5,last,210a1a668a5649d1b5ff4f4adc5fb93b;b03b8880277a467287a08bb2d2153b28;b739aca822a14a1cbd642cd4ac692d17;e53ccb9930de4f7bb9b8aac4b4105174;e61540633e6547ed8c59bb28154d4917
eval_drift_one_pass_candidate_seen_unseen_score_gap,GATv2,,,0,,
eval_drift_one_pass_candidate_seen_unseen_score_gap,LSTM,,,0,,
eval_drift_one_pass_candidate_seen_unseen_score_gap,EOPKG-WI,0.023,0.073,5,last,090ed1f9329c470dacabe8e87cad00e7;431a79f4e8044d2987d5f97c90a221c6;52976b78cd13459d8aeef2428f0736f8;5f855ce1446645a4a4d52a5b3c12507f;edd97efded1f4ee08e676233e55461b9
eval_drift_one_pass_candidate_seen_unseen_score_gap,EOPKG,0.340,0.063,5,last,210a1a668a5649d1b5ff4f4adc5fb93b;b03b8880277a467287a08bb2d2153b28;b739aca822a14a1cbd642cd4ac692d17;e53ccb9930de4f7bb9b8aac4b4105174;e61540633e6547ed8c59bb28154d4917
eval_drift_one_pass_candidate_target_score,GATv2,,,0,,
eval_drift_one_pass_candidate_target_score,LSTM,,,0,,
eval_drift_one_pass_candidate_target_score,EOPKG-WI,-136288.943,0.186,5,last,090ed1f9329c470dacabe8e87cad00e7;431a79f4e8044d2987d5f97c90a221c6;52976b78cd13459d8aeef2428f0736f8;5f855ce1446645a4a4d52a5b3c12507f;edd97efded1f4ee08e676233e55461b9
eval_drift_one_pass_candidate_target_score,EOPKG,-136289.935,0.371,5,last,210a1a668a5649d1b5ff4f4adc5fb93b;b03b8880277a467287a08bb2d2153b28;b739aca822a14a1cbd642cd4ac692d17;e53ccb9930de4f7bb9b8aac4b4105174;e61540633e6547ed8c59bb28154d4917
eval_drift_one_pass_candidate_temperature,GATv2,,,0,,
eval_drift_one_pass_candidate_temperature,LSTM,,,0,,
eval_drift_one_pass_candidate_temperature,EOPKG-WI,0.100,0.000,5,last,090ed1f9329c470dacabe8e87cad00e7;431a79f4e8044d2987d5f97c90a221c6;52976b78cd13459d8aeef2428f0736f8;5f855ce1446645a4a4d52a5b3c12507f;edd97efded1f4ee08e676233e55461b9
