metric,metric_label,family,comparison,seed,baseline_model,baseline_value,eopkg_value,advantage_direction,paired_advantage,baseline_run_id,eopkg_run_id
drift_window_strict_macro_f1,Strict Macro F1,secondary,EOPKG vs EOPKG-WI,13,EOPKG-WI,0.259770,0.344231,higher,0.084460,090ed1f9329c470dacabe8e87cad00e7,b03b8880277a467287a08bb2d2153b28
drift_window_strict_macro_f1,Strict Macro F1,secondary,EOPKG vs EOPKG-WI,42,EOPKG-WI,0.243819,0.546810,higher,0.302991,431a79f4e8044d2987d5f97c90a221c6,210a1a668a5649d1b5ff4f4adc5fb93b
drift_window_strict_macro_f1,Strict Macro F1,secondary,EOPKG vs EOPKG-WI,55,EOPKG-WI,0.252763,0.402828,higher,0.150066,edd97efded1f4ee08e676233e55461b9,e61540633e6547ed8c59bb28154d4917
drift_window_strict_macro_f1,Strict Macro F1,secondary,EOPKG vs EOPKG-WI,67,EOPKG-WI,0.219061,0.506200,higher,0.287139,5f855ce1446645a4a4d52a5b3c12507f,e53ccb9930de4f7bb9b8aac4b4105174
drift_window_strict_macro_f1,Strict Macro F1,secondary,EOPKG vs EOPKG-WI,78,EOPKG-WI,0.224531,0.444770,higher,0.220240,52976b78cd13459d8aeef2428f0736f8,b739aca822a14a1cbd642cd4ac692d17
drift_window_pred_in_mask_rate,Prediction in Mask rate,secondary,EOPKG vs GATv2,13,GATv2,0.475248,0.839299,higher,0.364052,e03f160a63b34907b648e6b29b051f93,b03b8880277a467287a08bb2d2153b28
drift_window_pred_in_mask_rate,Prediction in Mask rate,secondary,EOPKG vs GATv2,42,GATv2,0.379665,0.900229,higher,0.520564,bf6da114c8534a8eb85cf5a9d296cb1c,210a1a668a5649d1b5ff4f4adc5fb93b
drift_window_pred_in_mask_rate,Prediction in Mask rate,secondary,EOPKG vs GATv2,55,GATv2,0.365194,0.905941,higher,0.540746,d1400b7f5cee485485c75935ba0856fe,e61540633e6547ed8c59bb28154d4917
drift_window_pred_in_mask_rate,Prediction in Mask rate,secondary,EOPKG vs GATv2,67,GATv2,0.375857,0.838157,higher,0.462300,2ab927c10aa14ff6b86c7fca2ad45124,e53ccb9930de4f7bb9b8aac4b4105174
drift_window_pred_in_mask_rate,Prediction in Mask rate,secondary,EOPKG vs GATv2,78,GATv2,0.342346,0.920030,higher,0.577685,6da86c9f8a8745ddb59c64a7e23ad129,b739aca822a14a1cbd642cd4ac692d17
