metric,GATv2,GATv2+Mask,LSTM,EOPKG-WI,EOPKG
test_f1_mask_card_2,0.993 ± 0.018,1.000 ± 0.000,1.000 ± 0.000,0.977 ± 0.036,1.000 ± 0.000
test_f1_mask_card_3_plus,0.859 ± 0.035,1.000 ± 0.000,1.000 ± 0.001,0.984 ± 0.023,1.000 ± 0.000
test_f1_v1,0.862 ± 0.016,1.000 ± 0.000,0.983 ± 0.024,0.990 ± 0.021,1.000 ± 0.000
test_f1_v2,0.988 ± 0.032,1.000 ± 0.000,1.000 ± 0.000,0.982 ± 0.024,1.000 ± 0.000
test_inference_time_ms_per_graph,4.314 ± 2.058,3.890 ± 1.007,4.234 ± 1.383,4.598 ± 0.759,5.728 ± 1.063
test_macro_f1,0.938 ± 0.009,1.000 ± 0.000,1.000 ± 0.000,0.982 ± 0.025,1.000 ± 0.000
test_mask_coverage,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000
test_oos,0.019 ± 0.003,0.000 ± 0.000,0.000 ± 0.000,0.007 ± 0.008,0.000 ± 0.000
test_oos_len_11_20,0.056 ± 0.008,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.001,0.000 ± 0.000
test_oos_len_1_5,0.002 ± 0.003,0.000 ± 0.000,0.000 ± 0.000,0.035 ± 0.040,0.000 ± 0.000
test_oos_len_21_plus,0.001 ± 0.002,0.000 ± 0.000,0.000 ± 0.000,0.001 ± 0.001,0.000 ± 0.000
test_oos_len_6_10,0.001 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.001 ± 0.001,0.000 ± 0.000
test_oos_mask_card_1,0.030 ± 0.011,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
test_oos_mask_card_2,0.001 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.005 ± 0.008,0.000 ± 0.000
test_oos_mask_card_3_plus,0.031 ± 0.015,0.000 ± 0.000,0.000 ± 0.001,0.008 ± 0.009,0.000 ± 0.000
test_oos_v1,0.029 ± 0.012,0.000 ± 0.000,0.000 ± 0.000,0.005 ± 0.009,0.000 ± 0.000
test_oos_v2,0.007 ± 0.019,0.000 ± 0.000,0.000 ± 0.000,0.009 ± 0.009,0.000 ± 0.000
test_precision_macro,0.947 ± 0.014,1.000 ± 0.000,1.000 ± 0.000,0.987 ± 0.018,1.000 ± 0.000
test_pred_in_mask_rate,0.981 ± 0.003,1.000 ± 0.000,1.000 ± 0.000,0.993 ± 0.008,1.000 ± 0.000
test_pred_in_mask_rate_len_11_20,0.944 ± 0.008,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.001,1.000 ± 0.000
test_pred_in_mask_rate_len_1_5,0.998 ± 0.003,1.000 ± 0.000,1.000 ± 0.000,0.965 ± 0.040,1.000 ± 0.000
test_pred_in_mask_rate_len_21_plus,0.999 ± 0.002,1.000 ± 0.000,1.000 ± 0.000,0.999 ± 0.001,1.000 ± 0.000
test_pred_in_mask_rate_len_6_10,0.999 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,0.999 ± 0.001,1.000 ± 0.000
test_pred_in_mask_rate_mask_card_1,0.970 ± 0.011,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000
test_pred_in_mask_rate_mask_card_2,0.999 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,0.995 ± 0.008,1.000 ± 0.000
test_pred_in_mask_rate_mask_card_3_plus,0.969 ± 0.015,1.000 ± 0.000,1.000 ± 0.001,0.992 ± 0.009,1.000 ± 0.000
test_pred_in_mask_rate_v1,0.971 ± 0.012,1.000 ± 0.000,1.000 ± 0.000,0.995 ± 0.009,1.000 ± 0.000
test_pred_in_mask_rate_v2,0.993 ± 0.019,1.000 ± 0.000,1.000 ± 0.000,0.991 ± 0.009,1.000 ± 0.000
test_recall_macro,0.939 ± 0.008,1.000 ± 0.000,1.000 ± 0.000,0.982 ± 0.025,1.000 ± 0.000
test_set_hit_rate_ambiguous,0.991 ± 0.004,1.000 ± 0.000,1.000 ± 0.000,0.992 ± 0.009,1.000 ± 0.000
test_set_nll,0.230 ± 0.008,0.201 ± 0.006,0.194 ± 0.005,0.200 ± 0.006,0.145 ± 0.001
test_strict_error_but_allowed_rate,0.090 ± 0.015,0.112 ± 0.020,0.103 ± 0.017,0.079 ± 0.001,0.074 ± 0.001
test_strict_error_but_allowed_rate_len_11_20,0.070 ± 0.006,0.080 ± 0.001,0.075 ± 0.003,0.066 ± 0.001,0.065 ± 0.002
test_strict_error_but_allowed_rate_len_1_5,0.147 ± 0.005,0.189 ± 0.061,0.179 ± 0.035,0.158 ± 0.005,0.134 ± 0.003
test_strict_error_but_allowed_rate_len_21_plus,0.029 ± 0.006,0.045 ± 0.022,0.050 ± 0.030,0.023 ± 0.002,0.017 ± 0.001
test_strict_error_but_allowed_rate_len_6_10,0.187 ± 0.074,0.218 ± 0.060,0.176 ± 0.072,0.128 ± 0.007,0.137 ± 0.006
test_strict_error_but_allowed_rate_mask_card_1,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
